"Date","PTAX","Price_Arabica","Price_Robusta","Close_USD_60kg","Temp_Max","Temp_Min","Humidity","Solar_Radiation","Precipitation_mm"
2001-06-06,2.3821,53.01,0,77.2497700183868,27.04,12.54,67.82,16.12,0
2001-06-07,2.388,53.3,0,76.3238300091934,27.46,13.2,71.37,16.08,0
2001-06-08,2.3619,54.01,0,76.9190775183868,26.86,13.85,72.46,15.18,0
2001-06-11,2.3722,52.27,0,75.39789,24.59,13.56,74.99,14.69,0.05
2001-06-12,2.3906,52.39,0,76.2576925183868,24.9,12.53,72.91,15.13,0.01
2001-06-13,2.4078,52.28,0,76.3899675,24.89,12.56,68.64,16,0.02
2001-06-15,2.4079,53.05,0,78.5725400183868,26.96,12.42,61.46,15.41,0
2001-06-18,2.4586,54.98,0,80.6228325091934,26.25,13.99,71.3,12.67,0
2001-06-19,2.4675,51.31,0,76.1254124908066,24.32,12.7,73.03,11.67,0.02
2001-06-20,2.4748,51.08,0,73.0169050091934,22.48,12.77,76.75,9.79,0
2001-06-21,2.4054,53.54,0,76.059275,17.88,8.35,64.03,14.91,0
2001-06-22,2.3296,52.68,0,73.9428450183868,23.95,7.12,73.36,14.28,0.03
2001-06-25,2.2997,52.13,0,73.1491799908066,27.22,13.88,69.77,15.18,0.12
2001-06-26,2.3139,51.67,0,73.413735,26.64,11.76,72.11,12.78,0.19
2001-06-27,2.3236,52.16,0,73.0830425,22.28,8.9,68.19,16.08,0.88
2001-06-28,2.2923,52.04,0,73.413735,22.92,6.23,72.36,16.08,0.01
2001-06-29,2.3049,51.48,0,74.2073949816131,23.71,9.68,73.86,14.73,0
2001-07-02,2.3249,49.54,0,72.6200750183868,25.89,9.74,64.13,15.9,0
2001-07-03,2.3395,49.44,0,72.75235,27.7,8.65,56.2,16.77,0
2001-07-05,2.4113,47.27,0,71.42958,28.31,12.33,48.79,17.2,0
2001-07-06,2.4943,47.08,0,71.2311624816132,26.55,9.19,68.35,16.77,0
2001-07-10,2.4802,47.22,0,69.445425,26.11,10.8,59.66,15.86,0
2001-07-11,2.53,46.27,0,69.445425,26.53,10.49,59.54,17.05,0
2001-07-12,2.5423,46.44,0,68.9163149816131,25.89,12.89,65.66,10.52,0
2001-07-13,2.5538,46.02,0,68.8501774908066,23.36,10.83,72.03,16.98,0
2001-07-16,2.5979,46.33,0,69.1147325,26.33,9.7,56.6,17.57,0
2001-07-17,2.5304,47.44,0,68.78404,26.23,8.56,54.51,18.04,0
2001-07-18,2.4696,48.62,0,69.9083924816131,27.14,10.45,57.55,16.09,0.12
